,R202G,max,diff,True
51,5.047460494016671e-07,1.1617140855993541e-06,-1.3114004940166717e-07,0
52,3.063675350183221e-07,1.1617140855993541e-06,6.51734649816779e-08,0
53,1.8231049578907725e-07,1.1617140855993541e-06,3.2049050421092275e-07,0
54,2.1244072599579586e-07,1.1617140855993541e-06,5.210102740042042e-07,0
55,4.0085819950731046e-07,1.1617140855993541e-06,7.339418004926897e-07,0
56,8.978666016556959e-07,1.1617140855993541e-06,1.241783398344304e-06,1
57,2.6727185335810553e-06,1.1617140855993541e-06,2.2084514664189442e-06,1
58,8.032876022637977e-06,1.1617140855993541e-06,3.3635239773620245e-06,1
59,1.854795865833175e-05,1.1617140855993541e-06,4.529541341668249e-06,1
60,3.0674954622558944e-05,1.1617140855993541e-06,5.872245377441057e-06,1
61,3.613521596335888e-05,1.1617140855993541e-06,6.6343840366411155e-06,1
62,3.016231861130685e-05,1.1617140855993541e-06,5.424681388693147e-06,1
63,1.7312605843429474e-05,1.1617140855993541e-06,2.7528941565705257e-06,1
64,4.259970402981794e-06,1.1617140855993541e-06,9.34409597018206e-07,0
65,5.177234127972274e-06,1.1617140855993541e-06,6.773758720277261e-07,0
66,4.376377133407941e-06,1.1617140855993541e-06,-4.699971334079406e-07,0
67,3.026112020634125e-06,1.1617140855993541e-06,-1.2023220206341248e-06,1
68,1.7101485842322056e-06,1.1617140855993541e-06,-9.463405842322057e-07,1
69,7.267924951220759e-07,1.1617140855993541e-06,-3.453904951220759e-07,1
70,2.3710210038923868e-07,1.1617140855993541e-06,4.264389961076131e-08,0
71,7.649249765452434e-08,1.1617140855993541e-06,2.566015023454756e-07,0
72,1.263725328706069e-07,1.1617140855993541e-06,4.398464671293931e-07,0
73,6.05580003895171e-07,1.1617140855993541e-06,3.78793996104829e-07,0
74,1.9956988509596765e-06,1.1617140855993541e-06,-4.813788509596764e-07,0
75,4.265572413120011e-06,1.1617140855993541e-06,-2.150332413120011e-06,1
76,6.335642967571035e-06,1.1617140855993541e-06,-3.5546829675710355e-06,1
77,7.141728055821077e-06,1.1617140855993541e-06,-3.747508055821077e-06,1
78,6.670417782922562e-06,1.1617140855993541e-06,-2.9216977829225626e-06,1
79,5.4403612907751965e-06,1.1617140855993541e-06,-1.7245012907751965e-06,1
80,3.917109738038245e-06,1.1617140855993541e-06,-6.97929738038245e-07,0
81,2.585676047129929e-06,1.1617140855993541e-06,-2.3230604712992882e-07,0
82,1.654985451145224e-06,1.1617140855993541e-06,-1.3099545114522402e-07,0
83,9.861331279455248e-07,1.1617140855993541e-06,6.831687205447507e-08,0
84,5.437314454983017e-07,1.1617140855993541e-06,4.5267755450169827e-07,1
85,4.406529429167906e-07,1.1617140855993541e-06,8.177370570832094e-07,1
86,7.412647854667029e-07,1.1617140855993541e-06,9.579252145332972e-07,1
87,1.4133601199774637e-06,1.1617140855993541e-06,1.0372798800225364e-06,1
88,2.8459144584596694e-06,1.1617140855993541e-06,1.6703855415403309e-06,1
89,7.455326852397826e-06,1.1617140855993541e-06,2.9459731476021756e-06,1
90,1.9643052066864873e-05,1.1617140855993541e-06,3.988247933135129e-06,1
91,3.984536812299524e-05,1.1617140855993541e-06,4.611831877004768e-06,0
92,5.8410203987139366e-05,1.1617140855993541e-06,5.419896012860631e-06,0
93,6.191324526953675e-05,1.1617140855993541e-06,5.273454730463247e-06,0
94,4.731751246739406e-05,1.1617140855993541e-06,3.05968753260594e-06,0
95,2.517033011369146e-05,1.1617140855993541e-06,5.729698863085382e-07,0
96,3.3252780788783063e-06,1.1617140855993541e-06,1.224621921121694e-06,1
97,3.5960196843527018e-06,1.1617140855993541e-06,1.2967103156472984e-06,1
98,2.517618337715006e-06,1.1617140855993541e-06,6.194816622849939e-07,0
99,1.4018076806688022e-06,1.1617140855993541e-06,3.536231933119805e-08,0
100,7.375921350141819e-07,1.1617140855993541e-06,-8.276813501418188e-08,0
101,3.718038962265428e-07,1.1617140855993541e-06,2.5074103773457237e-08,0
102,1.7025501348155467e-07,1.1617140855993541e-06,1.2863498651844532e-07,0
103,8.473383032812671e-08,1.1617140855993541e-06,2.0915016967187328e-07,0
104,1.7068219757153074e-07,1.1617140855993541e-06,2.6611580242846926e-07,0
105,6.777113942585732e-07,1.1617140855993541e-06,9.075360574142678e-08,0
106,1.965054885731809e-06,1.1617140855993541e-06,-6.272748857318091e-07,0
107,4.027246369669681e-06,1.1617140855993541e-06,-1.7874463696696816e-06,1
108,6.322561319623456e-06,1.1617140855993541e-06,-2.8286413196234565e-06,1
109,8.338404729314432e-06,1.1617140855993541e-06,-3.383534729314432e-06,1
