,2OCJ3,diff,True
327,4.509601491294447e-07,-9.927514912944469e-08,0
328,1.8841768844032056e-06,-2.2514688440320568e-07,0
329,7.594003231764752e-06,-3.9519323176475106e-07,0
330,2.442283854270409e-05,-1.4490385427040888e-06,0
331,5.617295204876252e-05,-5.116652048762521e-06,1
332,9.015206732611909e-05,-1.0402567326119093e-05,1
333,0.00010321051302990069,-1.28967130299007e-05,1
334,8.556544719772439e-05,-9.925447197724392e-06,1
335,5.136923247686226e-05,-4.204832476862261e-06,0
336,2.3300234668591932e-05,-6.48934668591931e-07,0
337,9.753729812744664e-06,-1.5441981274466397e-07,0
338,5.160808651714464e-06,-4.1470865171446357e-07,0
339,3.359392471241749e-06,-1.3070247124174875e-07,0
340,2.19993801810301e-06,4.939219818969893e-07,0
341,1.6323339258908838e-06,1.042096074109116e-06,1
342,2.4874278158438992e-06,1.3209321841561008e-06,0
343,7.0511776199843e-06,1.370312380015698e-06,0
344,1.9784562901270205e-05,1.7180370987297985e-06,0
345,4.4465301779212766e-05,2.947998220787236e-06,0
346,7.527261626086209e-05,5.199783739137908e-06,0
347,9.71385912044116e-05,7.2094087955883955e-06,0
348,0.00010097497343340826,5.864026566591737e-06,0
349,8.581355044893008e-05,1.2779495510699157e-06,0
350,5.508579378307985e-05,-1.4693937830798429e-06,0
351,2.359404863047085e-05,-7.650486304708494e-07,0
352,9.011571594964405e-07,1.5801840503559526e-08,0
353,7.433952202773423e-07,8.319577972265764e-08,0
354,3.7283974714122726e-07,1.063052528587727e-07,0
355,1.3506098332563738e-07,7.140301667436261e-08,0
356,3.960335761268946e-08,3.909994238731054e-08,0
357,1.60410902741411e-08,2.26122097258589e-08,0
358,4.4154007211354664e-08,1.3772892788645337e-08,0
359,2.576633125822482e-07,3.001068741775177e-08,0
360,1.489846212276238e-06,1.7956378772376168e-07,0
361,6.8709376018708524e-06,3.8430239812914657e-07,0
362,2.1925090819107346e-05,-5.973908191073464e-07,0
363,4.599667133895259e-05,-4.010071338952592e-06,0
364,6.368027166258682e-05,-6.951771662586818e-06,1
365,5.933130155523778e-05,-5.240901555237783e-06,1
366,3.8060999162327865e-05,-1.1516991623278691e-06,0
367,1.7345485533710643e-05,8.950144662893563e-07,0
368,6.050311086928054e-06,8.391189130719457e-07,0
369,2.023158979652429e-06,3.537110203475709e-07,0
370,8.938050024960241e-07,1.4309499750397583e-07,0
371,4.982129502729663e-07,1.6215804972703366e-07,0
372,3.048344644732356e-07,2.6194853552676436e-07,1
373,3.302794273769782e-07,3.9911657262302174e-07,1
374,1.0376982947537015e-06,6.283117052462985e-07,0
375,4.007669026402169e-06,1.182260973597831e-06,0
376,1.2531791363200834e-05,2.270008636799167e-06,1
377,2.859026891958404e-05,3.7446310804159624e-06,1
378,4.649634085231972e-05,5.627059147680283e-06,1
379,5.599654042167589e-05,7.465759578324098e-06,1
380,5.284399625498734e-05,7.284003745012662e-06,1
381,3.9088343492361246e-05,4.823456507638756e-06,1
382,2.0922104577068194e-05,2.475995422931805e-06,1
383,7.31756571747571e-06,1.16095428252429e-06,0
384,9.450597657507454e-08,8.875702342492546e-08,0
385,6.378472157528951e-08,8.893827842471047e-08,0
386,2.9272346047755886e-08,5.266265395224411e-08,0
387,9.730149509096756e-09,2.4441250490903246e-08,0
388,2.0847172672926063e-09,1.3153782732707392e-08,0
389,1.6191170649895806e-09,1.0506182935010418e-08,0
390,1.4881048126436171e-08,1.642215187356383e-08,0
391,1.2758211597176856e-07,6.311388402823144e-08,1
392,8.255426974143082e-07,2.6404730258569183e-07,1
393,3.6401342467012908e-06,6.2215575329871e-07,0
394,1.0239136587152157e-05,6.344634128478421e-07,0
395,1.8174033231886494e-05,9.776676811350653e-08,0
396,2.0545063108758566e-05,1.6063689124143476e-07,0
397,1.5010124948399467e-05,1.1117750516005323e-06,0
398,7.306796884453757e-06,1.4122131155462448e-06,0
399,2.5109034607600844e-06,8.279665392399151e-07,1
400,6.75838866311487e-07,2.974831336885131e-07,1
401,1.7817933763791126e-07,9.19186623620887e-08,1
402,5.957246287715224e-08,4.3962537122847765e-08,0
403,2.5026592605905255e-08,3.8535807394094754e-08,1
404,1.8195338938228485e-08,5.0365861061771513e-08,1
405,6.327564237652878e-08,9.949835762347122e-08,0
406,3.562658161128071e-07,2.7455318388719283e-07,0
407,1.6141714172800138e-06,7.350885827199861e-07,1
408,5.155180504373579e-06,1.5020194956264218e-06,1
409,1.110234221077734e-05,2.4570577892226602e-06,1
410,1.631675829088082e-05,3.6975417091191802e-06,1
411,1.7216039990583855e-05,4.864560009416145e-06,1
412,1.375705683695206e-05,4.776243163047941e-06,1
413,8.345012664776597e-06,3.2889873352234038e-06,1
414,3.618218434986821e-06,1.6077115650131796e-06,1
415,1.0330702321916329e-06,5.645897678083671e-07,1
416,3.731781539155081e-09,1.570211846084492e-08,0
417,2.8176927416515048e-09,1.1295307258348495e-08,0
418,1.5223028933925792e-09,5.4142071066074215e-09,0
419,4.528541988180306e-10,2.7743958011819693e-09,0
420,8.656663954705286e-11,2.4052633604529473e-09,0
421,4.4487818792094204e-10,3.716041812079058e-09,0
422,5.073807281257605e-09,8.614992718742395e-09,0
423,4.123678648438187e-08,3.8920413515618134e-08,1
424,2.390936305198533e-07,1.6224836948014674e-07,1
425,9.00293479055217e-07,4.3407652094478315e-07,1
426,2.1016850825973234e-06,7.650649174026767e-07,1
427,3.0523369212185815e-06,9.655230787814184e-07,1
428,2.7758175511894482e-06,9.62312448810552e-07,1
429,1.588642796410429e-06,7.511872035895711e-07,1
430,5.923142407452524e-07,4.0199875925474746e-07,1
431,1.5727340381548286e-07,1.368015961845171e-07,1
432,3.291307240554799e-08,3.295042759445201e-08,1
433,5.870274403535571e-09,8.888425596464428e-09,1
434,1.0862563142939757e-09,4.601633685706024e-09,0
435,3.8857065437384e-10,3.94011934562616e-09,0
436,1.8204840119385581e-09,7.121465988061442e-09,0
437,1.715315379892065e-08,2.670354620107934e-08,0
438,1.174699228064909e-07,9.720407719350911e-08,0
439,5.238928649024715e-07,2.5153513509752845e-07,0
440,1.489550993752921e-06,4.7096900624707933e-07,0
441,2.73291342560854e-06,7.631465743914602e-07,1
442,3.3344331488319166e-06,1.176976851168083e-06,1
443,2.882151869127381e-06,1.4328781308726196e-06,1
444,1.8963610471172986e-06,1.1811389528827016e-06,1
445,9.4995883612931e-07,6.585411638706899e-07,1
446,3.351858506351341e-07,2.622961493648658e-07,1
447,7.565613084904652e-08,7.781286915095348e-08,0
448,4.4227300031728384e-11,7.143576999682717e-10,0
449,3.5845208137606604e-11,4.129997918623934e-10,0
450,1.6009759983014795e-11,1.888812400169852e-10,0
451,4.197933007619089e-12,1.450460669923809e-10,0
452,3.1248881740577907e-11,3.066501182594221e-10,0
453,5.04189856078693e-10,5.03570143921307e-10,0
454,3.955286099578151e-09,3.176039004218491e-10,0
455,1.7362610334107318e-08,4.436889665892681e-09,0
456,5.4171231307522796e-08,3.190116869247719e-08,1
457,1.306625097653888e-07,1.0128349023461121e-07,1
458,2.2027788358442558e-07,1.9177311641557443e-07,1
459,2.430176447666633e-07,2.370253552333367e-07,1
460,1.7054122915612088e-07,1.9920877084387916e-07,0
461,7.458734047280108e-08,1.142736595271989e-07,0
462,2.075402860062257e-08,4.357997139937743e-08,0
463,4.041148530231224e-09,1.1054951469768777e-08,0
464,5.900356671776929e-10,2.0223443328223075e-09,0
465,5.995419090257806e-11,4.362778090974219e-10,0
466,5.400332628792567e-12,2.5314966737120743e-10,0
467,3.200267325069643e-11,3.0425832674930354e-10,0
468,6.385797168801144e-10,1.356110283119886e-09,0
469,7.083822983455632e-09,6.381077016544367e-09,0
470,4.309289299428135e-08,1.853130700571864e-08,0
471,1.5220194508532413e-07,3.668005491467588e-08,0
472,3.327100687601347e-07,6.418493123986536e-08,0
473,4.6796794092803134e-07,1.1998205907196868e-07,0
474,4.3890171848469727e-07,1.9403428151530267e-07,1
475,2.945864804889492e-07,2.0904451951105082e-07,1
476,1.5241145890311785e-07,1.4164354109688214e-07,1
477,5.924443987500758e-08,6.419656012499241e-08,1
478,1.5299982992086544e-08,2.162381700791346e-08,0
479,2.322727675467331e-09,5.5375523245326674e-09,0
480,9.240603750094944e-14,7.613233962499049e-12,0
481,6.06942798849295e-14,3.5922557201150706e-12,0
482,3.761051216837537e-14,2.4344294878316246e-12,0
483,1.0293756350232994e-12,6.7803143649767e-12,0
484,2.478807977927668e-11,1.4205320220723319e-11,0
485,2.6676139877059723e-10,-3.390239877059723e-11,0
486,1.3404354785387314e-09,-4.5345478538731454e-11,0
