,V218M,max,diff,True
27,7.062904558563353e-06,1.2811640907445192e-06,-2.1242455856335252e-07,0
28,1.1969909343258384e-05,1.2811640907445192e-06,-1.9190934325838436e-07,0
29,1.5636829220484186e-05,1.2811640907445192e-06,-3.7062922048418606e-07,0
30,1.5203747250884039e-05,1.2811640907445192e-06,-1.0399472508840374e-06,0
31,1.0237488813617493e-05,1.2811640907445192e-06,-1.3158288136174925e-06,0
32,4.626572649554439e-06,1.2811640907445192e-06,-7.432226495544392e-07,0
33,5.14852367998989e-06,1.2811640907445192e-06,-3.695136799898899e-07,0
34,3.1847382157166403e-06,1.2811640907445192e-06,2.5994178428335983e-07,0
35,1.2717774626914794e-06,1.2811640907445192e-06,4.213325373085204e-07,0
36,4.3463883562029773e-07,1.2811640907445192e-06,2.5226216437970224e-07,0
37,1.7307480699306258e-07,1.2811640907445192e-06,1.1241919300693742e-07,0
38,1.4551869882504629e-07,1.2811640907445192e-06,4.1550301174953734e-08,0
39,3.3754421980586513e-07,1.2811640907445192e-06,-7.706021980586511e-08,0
40,9.814048553178864e-07,1.2811640907445192e-06,-5.020898553178864e-07,0
41,2.237910298177276e-06,1.2811640907445192e-06,-1.408688298177276e-06,1
42,3.5499824667152406e-06,1.2811640907445192e-06,-2.3018024667152405e-06,1
43,4.067871314334716e-06,1.2811640907445192e-06,-2.422891314334716e-06,1
44,3.8260347867643465e-06,1.2811640907445192e-06,-1.8916947867643464e-06,1
45,3.359434533043051e-06,1.2811640907445192e-06,-1.317404533043051e-06,1
46,2.8821354679467253e-06,1.2811640907445192e-06,-9.528254679467255e-07,0
47,2.358240261983434e-06,1.2811640907445192e-06,-7.18960261983434e-07,0
48,1.7329540122574025e-06,1.2811640907445192e-06,-4.6694401225740264e-07,0
49,1.1108559604634585e-06,1.2811640907445192e-06,-2.417069604634584e-07,0
50,6.465510258563752e-07,1.2811640907445192e-06,-1.0650802585637514e-07,0
51,3.69291293808308e-07,1.2811640907445192e-06,4.314706191691962e-09,0
52,3.4418523732347044e-07,1.2811640907445192e-06,2.7355762676529537e-08,0
53,6.836922255706389e-07,1.2811640907445192e-06,-1.8089122557063887e-07,0
54,1.3459743621599838e-06,1.2811640907445192e-06,-6.125233621599838e-07,1
55,2.1477833139082827e-06,1.2811640907445192e-06,-1.0129833139082825e-06,1
56,3.2732190298727613e-06,1.2811640907445192e-06,-1.1335690298727614e-06,1
57,5.9998822545778155e-06,1.2811640907445192e-06,-1.118712254577816e-06,0
58,1.2854225090154102e-05,1.2811640907445192e-06,-1.4578250901541007e-06,0
59,2.4935844856825945e-05,1.2811640907445192e-06,-1.858344856825945e-06,0
60,3.808258990550554e-05,1.2811640907445192e-06,-1.535389905505538e-06,0
61,4.420092150937052e-05,1.2811640907445192e-06,-1.4313215093705254e-06,0
62,3.774680235211578e-05,1.2811640907445192e-06,-2.159802352115782e-06,0
63,2.217779981303775e-05,1.2811640907445192e-06,-2.1122998130377516e-06,0
64,5.779951272057517e-06,1.2811640907445192e-06,-5.855712720575168e-07,0
65,5.925736911840183e-06,1.2811640907445192e-06,-7.112691184018209e-08,0
66,3.4727104664504617e-06,1.2811640907445192e-06,4.33669533549539e-07,0
67,1.338033143339794e-06,1.2811640907445192e-06,4.857568566602061e-07,0
68,4.340552747530052e-07,1.2811640907445192e-06,3.297527252469947e-07,0
69,1.8985350239593925e-07,1.2811640907445192e-06,1.9154849760406077e-07,0
70,1.9548173872323602e-07,1.2811640907445192e-06,8.426426127676398e-08,0
71,4.458038943902773e-07,1.2811640907445192e-06,-1.1270989439027731e-07,0
