,R273H,max,diff,True
212,2.595138097124088e-06,1.1061684089567915e-06,1.494819028759119e-07,0
213,2.432916403595845e-06,1.1061684089567915e-06,1.038743596404155e-06,0
214,3.739671287354302e-06,1.1061684089567915e-06,1.598238712645697e-06,0
215,7.510774578359771e-06,1.1061684089567915e-06,1.7747054216402284e-06,0
216,1.5137596678472748e-05,1.1061684089567915e-06,2.556003321527251e-06,0
217,2.868857942002536e-05,1.1061684089567915e-06,4.3240205799746425e-06,1
218,4.843052929623991e-05,1.1061684089567915e-06,5.344270703760089e-06,1
219,6.6662011380318e-05,1.1061684089567915e-06,3.4127886196819954e-06,0
220,7.083197035313236e-05,1.1061684089567915e-06,-9.157703531323592e-07,0
221,5.7411905193776695e-05,1.1061684089567915e-06,-4.125405193776696e-06,0
222,3.5497475450840105e-05,1.1061684089567915e-06,-4.191175450840103e-06,1
223,1.6282643333352625e-05,1.1061684089567915e-06,-2.479143333352626e-06,1
224,3.5153599981269654e-06,1.1061684089567915e-06,-3.700299981269652e-07,0
225,4.399183354801914e-06,1.1061684089567915e-06,-3.1501335480191436e-07,0
226,3.5164277646051405e-06,1.1061684089567915e-06,-1.2883776460514037e-07,0
227,2.219716807362841e-06,1.1061684089567915e-06,1.4213192637158728e-08,0
228,1.3221842209464337e-06,1.1061684089567915e-06,1.0062577905356632e-07,0
229,7.428415205209303e-07,1.1061684089567915e-06,1.4470247947906972e-07,0
230,3.8077728238948606e-07,1.1061684089567915e-06,1.4940671761051394e-07,0
231,2.2237241491619548e-07,1.1061684089567915e-06,1.675185850838045e-07,0
232,4.183590940299785e-07,1.1061684089567915e-06,2.2566690597002158e-07,0
233,1.592242897206581e-06,1.1061684089567915e-06,2.7546710279341877e-07,0
234,5.026987035683701e-06,1.1061684089567915e-06,2.883829643162983e-07,0
235,1.2052020039025055e-05,1.1061684089567915e-06,3.608799609749446e-07,0
236,2.2348083129998386e-05,1.1061684089567915e-06,6.522168700016152e-07,0
237,3.246858471501284e-05,1.1061684089567915e-06,1.4788152849871603e-06,0
238,3.7276487925174324e-05,1.1061684089567915e-06,2.5668120748256743e-06,0
239,3.4370021264040446e-05,1.1061684089567915e-06,2.216778735959554e-06,0
240,2.582276714340201e-05,1.1061684089567915e-06,3.2473285659799023e-07,0
241,1.6073195840533328e-05,1.1061684089567915e-06,-9.545958405333287e-07,0
242,8.946070273973708e-06,1.1061684089567915e-06,-9.870302739737076e-07,0
243,5.2989393529333175e-06,1.1061684089567915e-06,-6.312293529333182e-07,0
244,3.827555263918099e-06,1.1061684089567915e-06,-1.2428526391809883e-07,0
245,3.4396627201096016e-06,1.1061684089567915e-06,6.069572798903985e-07,0
246,4.4640873302983815e-06,1.1061684089567915e-06,1.042482669701618e-06,0
247,8.401246006714858e-06,1.1061684089567915e-06,7.717839932851424e-07,0
248,1.714982283833796e-05,1.1061684089567915e-06,2.5467716166203833e-07,0
249,3.272276453047917e-05,1.1061684089567915e-06,-3.5164530479168206e-08,0
250,5.422670134325768e-05,1.1061684089567915e-06,-5.875013432576795e-07,0
251,7.209589163087637e-05,1.1061684089567915e-06,-1.8729916308763691e-06,0
252,7.411775411355778e-05,1.1061684089567915e-06,-3.2312541135577887e-06,0
253,6.014613309440778e-05,1.1061684089567915e-06,-3.9147330944077735e-06,0
254,3.930515423305259e-05,1.1061684089567915e-06,-3.5501542330525904e-06,1
255,1.964842905944128e-05,1.1061684089567915e-06,-2.2192290594412825e-06,1
256,5.474278603083876e-06,1.1061684089567915e-06,-8.542886030838765e-07,0
257,6.497994983275052e-06,1.1061684089567915e-06,-8.220649832750518e-07,0
258,4.842357498918753e-06,1.1061684089567915e-06,-4.85367498918753e-07,0
259,2.751188681800026e-06,1.1061684089567915e-06,-1.3426868180002593e-07,0
260,1.416347977652116e-06,1.1061684089567915e-06,7.484202234788393e-08,0
261,6.805701077925313e-07,1.1061684089567915e-06,1.5435589220746859e-07,0
262,2.993368065092087e-07,1.1061684089567915e-06,1.907801934907913e-07,0
263,2.0438590098565663e-07,1.1061684089567915e-06,2.419600990143433e-07,0
264,6.326798767423998e-07,1.1061684089567915e-06,3.4677112325760027e-07,0
265,2.656503621928797e-06,1.1061684089567915e-06,4.899363780712031e-07,0
266,8.69001513007326e-06,1.1061684089567915e-06,6.477748699267398e-07,0
267,2.1230553225468882e-05,1.1061684089567915e-06,9.040467745311174e-07,0
268,3.9156785050808116e-05,1.1061684089567915e-06,1.1066149491918822e-06,0
269,5.5797700738219106e-05,1.1061684089567915e-06,7.474992617808956e-07,0
270,6.278902076693472e-05,1.1061684089567915e-06,-7.296207669347219e-07,0
271,5.620694650432367e-05,1.1061684089567915e-06,-3.159646504323676e-06,0
272,3.9852162081098215e-05,1.1061684089567915e-06,-4.502262081098216e-06,1
273,2.305027174177345e-05,1.1061684089567915e-06,-3.5914717417734488e-06,1
274,1.2662766834247051e-05,1.1061684089567915e-06,-2.156166834247051e-06,1
275,8.374149117347473e-06,1.1061684089567915e-06,-1.4178691173474725e-06,0
276,6.606062111338957e-06,1.1061684089567915e-06,-6.995621113389567e-07,0
277,5.493746860630214e-06,1.1061684089567915e-06,2.829631393697848e-07,0
278,5.757321851561496e-06,1.1061684089567915e-06,7.368381484385032e-07,0
279,9.630746855437256e-06,1.1061684089567915e-06,-2.28068554372562e-08,0
280,2.0068334784709115e-05,1.1061684089567915e-06,-1.6985347847091138e-06,0
281,3.9666140431867465e-05,1.1061684089567915e-06,-3.147640431867466e-06,0
282,6.572216504413123e-05,1.1061684089567915e-06,-3.2250650441312245e-06,0
283,8.618569256303339e-05,1.1061684089567915e-06,-1.9526925630333953e-06,0
284,8.98899815250053e-05,1.1061684089567915e-06,-9.498815250052887e-07,0
285,7.704897762244982e-05,1.1061684089567915e-06,-1.0571776224498162e-06,0
286,5.357945493239158e-05,1.1061684089567915e-06,-1.288054932391574e-06,0
287,2.7634250361117177e-05,1.1061684089567915e-06,-9.916503611171752e-07,0
288,5.0818139698693865e-06,1.1061684089567915e-06,-3.197439698693864e-07,0
289,5.343600451696247e-06,1.1061684089567915e-06,-1.4948045169624788e-07,0
290,3.4637926129019928e-06,1.1061684089567915e-06,5.6027387098007115e-08,0
291,1.6599751083210982e-06,1.1061684089567915e-06,1.857048916789016e-07,0
292,7.182655541168062e-07,1.1061684089567915e-06,1.8144644588319373e-07,0
293,2.9851143629786937e-07,1.1061684089567915e-06,1.489215637021306e-07,0
294,1.3569166239858232e-07,1.1061684089567915e-06,1.4890833760141767e-07,0
295,2.1320678070249885e-07,1.1061684089567915e-06,1.8155321929750112e-07,0
