,I251L,max,diff,True
116,1.2313602559460042e-06,1.076209015523905e-06,7.073197440539958e-07,0
117,1.969444347941086e-06,1.076209015523905e-06,4.747656520589141e-07,0
118,3.2587459740280007e-06,1.076209015523905e-06,5.230402597199953e-08,0
119,4.838172495167027e-06,1.076209015523905e-06,-2.118624951670269e-07,0
120,8.021844549741749e-06,1.076209015523905e-06,1.8018545025825011e-07,0
121,1.705108238966323e-05,1.076209015523905e-06,1.0002176103367705e-06,0
122,3.644419091999649e-05,1.076209015523905e-06,1.3957090800035041e-06,0
123,6.362333131240771e-05,1.076209015523905e-06,4.671686875922903e-07,0
124,8.366382867058063e-05,1.076209015523905e-06,-1.5133286705806305e-06,0
125,8.008510300280533e-05,1.076209015523905e-06,-2.680703002805337e-06,0
126,5.477552068141551e-05,1.076209015523905e-06,-2.2765206814155146e-06,0
127,2.6153756515549114e-05,1.076209015523905e-06,-1.5364565155491149e-06,0
128,3.6934939436394133e-06,1.076209015523905e-06,-3.643739436394136e-07,0
129,3.6254865997070015e-06,1.076209015523905e-06,-1.3113659970700167e-07,0
130,2.153963657898088e-06,1.076209015523905e-06,5.477634210191229e-08,0
131,9.97477030097271e-07,1.076209015523905e-06,7.125296990272878e-08,0
132,5.359892271435645e-07,1.076209015523905e-06,5.0674772856435505e-08,0
133,3.4243212542568695e-07,1.076209015523905e-06,6.273987457431307e-08,0
134,2.0404892542002812e-07,1.076209015523905e-06,8.563807457997184e-08,0
135,1.3669823521959562e-07,1.076209015523905e-06,9.241576478040437e-08,0
136,2.239267115644367e-07,1.076209015523905e-06,6.63182884355633e-08,0
137,6.87266156864732e-07,1.076209015523905e-06,-1.04513156864732e-07,0
138,1.8676445681149502e-06,1.076209015523905e-06,-5.554045681149503e-07,1
139,4.011706683380349e-06,1.076209015523905e-06,-1.3060866833803489e-06,1
140,6.912729526047525e-06,1.076209015523905e-06,-2.072359526047525e-06,1
141,9.672518147268953e-06,1.076209015523905e-06,-2.0573381472689526e-06,0
142,1.1310771391137918e-05,1.076209015523905e-06,-8.768713911379183e-07,0
143,1.1543013195168202e-05,1.076209015523905e-06,2.576868048317966e-07,0
144,1.044869890387603e-05,1.076209015523905e-06,9.720109612396777e-08,0
145,7.952322923166307e-06,1.076209015523905e-06,-4.800929231663062e-07,0
146,4.624329054379978e-06,1.076209015523905e-06,-7.851905437997819e-08,0
147,2.114491054412507e-06,1.076209015523905e-06,8.203089455874933e-07,0
148,1.3879781675887548e-06,1.076209015523905e-06,1.3827118324112453e-06,1
149,2.1650330127307734e-06,1.076209015523905e-06,1.6158669872692263e-06,1
150,3.819673859038003e-06,1.076209015523905e-06,1.4948361409619972e-06,1
151,6.270735343072312e-06,1.076209015523905e-06,1.2261546569276875e-06,0
152,1.1817054361320474e-05,1.076209015523905e-06,1.247345638679526e-06,0
153,2.515584085661301e-05,1.076209015523905e-06,1.5835591433869917e-06,0
