,P152L,max,diff,True
61,4.1361870910321866e-05,1.074837602992724e-06,1.407729089678132e-06,0
62,3.369149883775893e-05,1.074837602992724e-06,1.8955011622410686e-06,0
63,1.932115533819501e-05,1.074837602992724e-06,7.443446618049912e-07,0
64,6.857431286754973e-06,1.074837602992724e-06,-1.663051286754973e-06,1
65,7.63235457929922e-06,1.074837602992724e-06,-1.7777445792992194e-06,1
66,4.9584927872751335e-06,1.074837602992724e-06,-1.0521127872751328e-06,0
67,2.0913133086140288e-06,1.074837602992724e-06,-2.675233086140286e-07,0
68,7.228272947231859e-07,1.074837602992724e-06,4.098070527681397e-08,0
69,3.3498445958543484e-07,1.074837602992724e-06,4.641754041456517e-08,0
70,2.454608404401274e-07,1.074837602992724e-06,3.428515955987262e-08,0
71,2.18401062145402e-07,1.074837602992724e-06,1.1469293785459797e-07,0
72,2.397373755998323e-07,1.074837602992724e-06,3.2648162440016765e-07,0
73,3.344702126576788e-07,1.074837602992724e-06,6.499037873423212e-07,0
74,5.299223194551745e-07,1.074837602992724e-06,9.843976805448257e-07,0
75,8.094769101854524e-07,1.074837602992724e-06,1.3057630898145476e-06,1
76,1.1271576669055377e-06,1.074837602992724e-06,1.6538023330944622e-06,1
77,1.406353117440233e-06,1.074837602992724e-06,1.987866882559767e-06,1
78,1.5406973673368491e-06,1.074837602992724e-06,2.2080226326631504e-06,1
79,1.460113435867321e-06,1.074837602992724e-06,2.255746564132679e-06,1
80,1.282155851002841e-06,1.074837602992724e-06,1.9370241489971587e-06,1
81,1.2407386789061168e-06,1.074837602992724e-06,1.1126313210938834e-06,1
82,1.3572768535134692e-06,1.074837602992724e-06,1.6671314648653093e-07,0
83,1.4260085443408542e-06,1.074837602992724e-06,-3.7155854434085425e-07,1
84,1.3558296523825156e-06,1.074837602992724e-06,-3.594206523825157e-07,0
85,1.3745124308358198e-06,1.074837602992724e-06,-1.161224308358198e-07,0
86,1.8762576267248764e-06,1.074837602992724e-06,-1.7706762672487624e-07,0
87,3.461428965050112e-06,1.074837602992724e-06,-1.010788965050112e-06,1
88,7.4863661303689775e-06,1.074837602992724e-06,-2.970066130368977e-06,1
89,1.6638903482231712e-05,1.074837602992724e-06,-6.237603482231711e-06,1
90,3.338862564806822e-05,1.074837602992724e-06,-9.757325648068215e-06,1
91,5.491611087879329e-05,1.074837602992724e-06,-1.0458910878793284e-05,1
92,7.053038492366134e-05,1.074837602992724e-06,-6.700284923661338e-06,1
93,6.905525658268484e-05,1.074837602992724e-06,-1.8685565826848376e-06,0
94,5.017572738836072e-05,1.074837602992724e-06,2.014726116392841e-07,0
95,2.565661853017041e-05,1.074837602992724e-06,8.668146982958742e-08,0
96,4.904190102357508e-06,1.074837602992724e-06,-3.542901023575081e-07,0
97,5.313126495001118e-06,1.074837602992724e-06,-4.20396495001118e-07,0
98,3.4824938349256393e-06,1.074837602992724e-06,-3.453938349256393e-07,0
99,1.6116807288483468e-06,1.074837602992724e-06,-1.7451072884834663e-07,0
100,7.150403235909417e-07,1.074837602992724e-06,-6.021632359094174e-08,0
101,4.1912164021445337e-07,1.074837602992724e-06,-2.2243640214453325e-08,0
102,3.337698381051985e-07,1.074837602992724e-06,-3.487983810519853e-08,0
103,3.293805896801694e-07,1.074837602992724e-06,-3.54965896801694e-08,0
104,3.4363707277921466e-07,1.074837602992724e-06,9.316092722078533e-08,0
105,4.666478643304999e-07,1.074837602992724e-06,3.018171356695001e-07,0
106,8.407008140031044e-07,1.074837602992724e-06,4.970791859968956e-07,0
107,1.4567741990103182e-06,1.074837602992724e-06,7.830258009896815e-07,0
108,2.1968266124541666e-06,1.074837602992724e-06,1.2970933875458332e-06,0
109,2.867701887782595e-06,1.074837602992724e-06,2.087168112217404e-06,1
110,3.287313481566092e-06,1.074837602992724e-06,3.047936518433908e-06,1
111,3.3602311857175013e-06,1.074837602992724e-06,3.6955588142824983e-06,1
112,3.2320876878766006e-06,1.074837602992724e-06,3.2521823121233997e-06,1
113,3.1870648069237106e-06,1.074837602992724e-06,1.6485451930762892e-06,1
114,3.19039342086764e-06,1.074837602992724e-06,-6.78334208676401e-08,0
115,2.9185154846691738e-06,1.074837602992724e-06,-8.081754846691736e-07,1
116,2.4994611497898993e-06,1.074837602992724e-06,-5.607811497898992e-07,0
117,2.509003785071297e-06,1.074837602992724e-06,-6.479378507129689e-08,0
118,3.316818925020481e-06,1.074837602992724e-06,-5.7689250204806705e-09,0
119,5.484401263969802e-06,1.074837602992724e-06,-8.580912639698024e-07,0
120,1.1392132422739427e-05,1.074837602992724e-06,-3.1901024227394283e-06,1
121,2.553993768125204e-05,1.074837602992724e-06,-7.488637681252038e-06,1
122,4.9883806186433695e-05,1.074837602992724e-06,-1.2043906186433698e-05,1
123,7.671191199110752e-05,1.074837602992724e-06,-1.2621411991107516e-05,1
124,9.02642676950584e-05,1.074837602992724e-06,-8.113767695058397e-06,1
125,8.029746157168279e-05,1.074837602992724e-06,-2.8930615716827983e-06,0
126,5.2607939328583204e-05,1.074837602992724e-06,-1.0893932858321127e-07,0
127,2.413350610388703e-05,1.074837602992724e-06,4.837938961129682e-07,0
128,2.9944972197185788e-06,1.074837602992724e-06,3.3462278028142097e-07,0
129,3.4027339993064546e-06,1.074837602992724e-06,9.16160006935452e-08,0
130,2.550304029368061e-06,1.074837602992724e-06,-3.415640293680605e-07,0
131,1.4795808213172062e-06,1.074837602992724e-06,-4.108508213172064e-07,0
132,7.985104839627934e-07,1.074837602992724e-06,-2.1184648396279343e-07,0
133,4.921754432876377e-07,1.074837602992724e-06,-8.700344328763764e-08,0
134,3.848652448545555e-07,1.074837602992724e-06,-9.517824485455552e-08,0
135,3.2989864179965183e-07,1.074837602992724e-06,-1.0078464179965184e-07,0
136,3.390562080351468e-07,1.074837602992724e-06,-4.88112080351468e-08,0
137,6.262420694575486e-07,1.074837602992724e-06,-4.34890694575486e-08,0
138,1.3302014455037051e-06,1.074837602992724e-06,-1.7961445503705173e-08,0
139,2.4371183048829787e-06,1.074837602992724e-06,2.6850169511702137e-07,0
140,3.8364506688079235e-06,1.074837602992724e-06,1.0039193311920763e-06,0
141,5.22519473758678e-06,1.074837602992724e-06,2.389985262413221e-06,1
142,6.2389359978276254e-06,1.074837602992724e-06,4.194964002172375e-06,1
143,6.6654517600452564e-06,1.074837602992724e-06,5.135248239954742e-06,1
144,6.473452168131827e-06,1.074837602992724e-06,4.072447831868171e-06,1
145,5.8737844468860635e-06,1.074837602992724e-06,1.5984455531139371e-06,0
146,4.9585707492173435e-06,1.074837602992724e-06,-4.127607492173439e-07,0
147,3.8156725273002255e-06,1.074837602992724e-06,-8.808725273002252e-07,1
148,3.091878632135128e-06,1.074837602992724e-06,-3.2118863213512785e-07,0
149,3.4550624731636183e-06,1.074837602992724e-06,3.258375268363814e-07,0
150,4.919077109637928e-06,1.074837602992724e-06,3.95432890362072e-07,0
151,8.150213332449679e-06,1.074837602992724e-06,-6.533233324496793e-07,0
152,1.665072504538851e-05,1.074837602992724e-06,-3.5863250453885094e-06,1
153,3.512525102981079e-05,1.074837602992724e-06,-8.385851029810789e-06,1
154,6.264551596481128e-05,1.074837602992724e-06,-1.2281815964811275e-05,1
155,8.739213044332711e-05,1.074837602992724e-06,-1.1662130443327117e-05,1
156,9.33166919765614e-05,1.074837602992724e-06,-6.963391976561406e-06,0
