,V173M,max,diff,True
0,1.7774865680836014e-06,1.313551590510562e-06,-3.624965680836015e-07,0
1,2.2169591766857878e-06,1.313551590510562e-06,-2.0631917668578767e-07,0
2,1.5710514921764146e-06,1.313551590510562e-06,7.003850782358538e-08,0
3,7.426647186319539e-07,1.313551590510562e-06,1.4789028136804598e-07,0
4,3.0398820378393085e-07,1.313551590510562e-06,7.301979621606916e-08,0
5,1.5910823241206e-07,1.313551590510562e-06,-1.7635232412060015e-08,0
6,1.3480465751822658e-07,1.313551590510562e-06,-6.43702575182266e-08,1
7,1.1975742299634117e-07,1.313551590510562e-06,-2.3953322996341158e-08,0
8,8.373389406650377e-08,1.313551590510562e-06,1.0674210593349622e-07,0
9,7.011280607006884e-08,1.313551590510562e-06,2.6403119392993116e-07,0
10,1.2228506872382586e-07,1.313551590510562e-06,3.868089312761741e-07,0
11,2.392222636207342e-07,1.313551590510562e-06,4.4645073637926583e-07,0
12,3.9165557342605756e-07,1.313551590510562e-06,4.0662342657394244e-07,0
13,5.289435091459789e-07,1.313551590510562e-06,2.6136449085402106e-07,0
14,5.763305475308096e-07,1.313551590510562e-06,9.779745246919051e-08,0
15,5.049719754909856e-07,1.313551590510562e-06,4.438024509014375e-09,0
16,3.662136364773442e-07,1.313551590510562e-06,-1.2117636477344232e-08,0
17,2.322881907201486e-07,1.313551590510562e-06,5.75809279851414e-10,0
18,1.3984377386244663e-07,1.313551590510562e-06,1.0292261375533875e-09,0
19,9.059635631357355e-08,1.313551590510562e-06,-2.6596563135735507e-09,0
20,8.732432375714059e-08,1.313551590510562e-06,-4.6674237571405936e-09,0
21,1.2480905178281034e-07,1.313551590510562e-06,-8.219051782810342e-09,0
22,1.7838281520193862e-07,1.313551590510562e-06,9.434184798061403e-09,0
23,2.67294296208022e-07,1.313551590510562e-06,5.0993703791978024e-08,0
24,5.479534793494893e-07,1.313551590510562e-06,6.482452065051072e-08,0
25,1.3677815868124102e-06,1.313551590510562e-06,1.2618413187589717e-08,0
26,3.339174516773454e-06,1.313551590510562e-06,-1.0464451677345452e-07,0
27,6.956021010284872e-06,1.313551590510562e-06,-1.0554101028487199e-07,0
28,1.1490778277788375e-05,1.313551590510562e-06,2.872217222116246e-07,0
29,1.4593202721652466e-05,1.313551590510562e-06,6.72997278347534e-07,0
30,1.374718489106994e-05,1.313551590510562e-06,4.1661510893006136e-07,0
31,8.941609605098312e-06,1.313551590510562e-06,-1.994960509831158e-08,0
32,4.764128081402736e-06,1.313551590510562e-06,-8.807780814027359e-07,0
33,5.332157743205833e-06,1.313551590510562e-06,-5.531477432058332e-07,0
34,3.5275226288673546e-06,1.313551590510562e-06,-8.284262886735446e-08,0
35,1.5952495528927881e-06,1.313551590510562e-06,9.786044710721164e-08,0
36,5.935558317963381e-07,1.313551590510562e-06,9.334516820366184e-08,0
37,2.395683367115472e-07,1.313551590510562e-06,4.5925663288452814e-08,0
38,1.4940778078192193e-07,1.313551590510562e-06,3.766121921807809e-08,0
39,1.2995916773455044e-07,1.313551590510562e-06,1.3052483226544958e-07,0
40,1.3185005467540527e-07,1.313551590510562e-06,3.4746494532459473e-07,0
41,2.1824243697432775e-07,1.313551590510562e-06,6.109795630256722e-07,0
42,5.080871236226356e-07,1.313551590510562e-06,7.400928763773644e-07,0
43,1.0172530564647523e-06,1.313551590510562e-06,6.277269435352477e-07,0
44,1.5606843945462662e-06,1.313551590510562e-06,3.7365560545373386e-07,0
45,1.907588842684838e-06,1.313551590510562e-06,1.3444115731516195e-07,0
46,1.9766456158851365e-06,1.313551590510562e-06,-4.7335615885136805e-08,0
47,1.8020209029081376e-06,1.313551590510562e-06,-1.6274090290813756e-07,0
48,1.4201932008304149e-06,1.313551590510562e-06,-1.54183200830415e-07,0
49,9.500950509796976e-07,1.313551590510562e-06,-8.094605097969759e-08,0
50,5.77128185338801e-07,1.313551590510562e-06,-3.7085185338800977e-08,0
51,4.0292469340342495e-07,1.313551590510562e-06,-2.9318693403424982e-08,0
52,3.973305262446223e-07,1.313551590510562e-06,-2.5789526244622317e-08,0
53,4.4573007492982207e-07,1.313551590510562e-06,5.707092507017794e-08,0
54,5.063784391571235e-07,1.313551590510562e-06,2.2707256084287656e-07,0
55,7.73453991770316e-07,1.313551590510562e-06,3.6134600822968417e-07,0
56,1.713703411741907e-06,1.313551590510562e-06,4.259465882580929e-07,0
57,4.469284892817031e-06,1.313551590510562e-06,4.1188510718296897e-07,0
58,1.1261228887253275e-05,1.313551590510562e-06,1.351711127467267e-07,0
59,2.3458422127976872e-05,1.313551590510562e-06,-3.809221279768716e-07,0
60,3.740380290359082e-05,1.313551590510562e-06,-8.566029035908212e-07,0
61,4.4138370060386736e-05,1.313551590510562e-06,-1.368770060386738e-06,0
62,3.729745498963379e-05,1.313551590510562e-06,-1.7104549896337942e-06,0
63,2.14217631217059e-05,1.313551590510562e-06,-1.3562631217058999e-06,0
64,5.705766132061703e-06,1.313551590510562e-06,-5.113861320617029e-07,0
65,6.074603082537202e-06,1.313551590510562e-06,-2.1999308253720154e-07,0
