,R248Q,max,diff,True
190,2.9737065794987395e-05,1.277167689503329e-06,6.809534205012605e-06,1
191,1.3748586332603005e-05,1.277167689503329e-06,1.8840136673969948e-06,1
192,2.2348640840967427e-06,1.277167689503329e-06,5.5605915903257205e-08,0
193,2.6858952186525938e-06,1.277167689503329e-06,9.146478134740625e-08,0
194,1.9574750477104943e-06,1.277167689503329e-06,2.5642495228950536e-07,0
195,9.998740656391764e-07,1.277167689503329e-06,4.7427593436082355e-07,0
196,4.526320664788517e-07,1.277167689503329e-06,5.583879335211484e-07,0
197,2.021089555862616e-07,1.277167689503329e-06,4.959980444137384e-07,0
198,1.0976179767913537e-07,1.277167689503329e-06,3.3478220232086463e-07,0
199,1.9826403538990293e-07,1.277167689503329e-06,9.884696461009704e-08,0
200,5.7809139275029e-07,1.277167689503329e-06,-1.9741839275028995e-07,0
201,1.5463054514895803e-06,1.277167689503329e-06,-5.140154514895803e-07,1
202,3.7463502727239327e-06,1.277167689503329e-06,-7.812602727239323e-07,0
203,7.742125424899551e-06,1.277167689503329e-06,-7.118854248995528e-07,0
204,1.3005541395148205e-05,1.277167689503329e-06,4.110586048517962e-07,0
205,1.7953597216337892e-05,1.277167689503329e-06,2.8593027836621065e-06,1
206,2.1128994619709105e-05,1.277167689503329e-06,4.908605380290898e-06,1
207,2.151590299580874e-05,1.277167689503329e-06,3.96029700419126e-06,1
208,1.8455644299614246e-05,1.277167689503329e-06,7.256557003857561e-07,0
209,1.2864474732763867e-05,1.277167689503329e-06,-1.3918747327638674e-06,0
210,7.394990877363249e-06,1.277167689503329e-06,-1.375480877363249e-06,0
211,4.0366452262871255e-06,1.277167689503329e-06,-6.65525226287126e-07,0
212,2.6725080542904743e-06,1.277167689503329e-06,7.211194570952577e-08,0
213,2.275950064014265e-06,1.277167689503329e-06,1.195709935985735e-06,0
214,2.432669695139665e-06,1.277167689503329e-06,2.905240304860334e-06,1
215,3.7811554775915632e-06,1.277167689503329e-06,5.5043245224084365e-06,1
216,7.984359362191338e-06,1.277167689503329e-06,9.709240637808662e-06,1
217,1.7006946332009492e-05,1.277167689503329e-06,1.600565366799051e-05,1
218,3.0629380810034996e-05,1.277167689503329e-06,2.3145419189965003e-05,1
219,4.392750211824125e-05,1.277167689503329e-06,2.6147297881758748e-05,1
220,4.926864307686524e-05,1.277167689503329e-06,2.064755692313476e-05,1
221,4.289076898525995e-05,1.277167689503329e-06,1.0395731014740051e-05,1
