,H179Y,max,diff,True
0,2.481978732973732e-06,1.0891314582338578e-06,-1.0669887329737322e-06,1
1,3.4330781503516757e-06,1.0891314582338578e-06,-1.4224381503516756e-06,1
2,2.7672725162893016e-06,1.0891314582338578e-06,-1.1261825162893016e-06,1
3,1.47667394906906e-06,1.0891314582338578e-06,-5.8611894906906e-07,0
4,6.274628339483007e-07,1.0891314582338578e-06,-2.504548339483007e-07,0
5,2.7781327105618484e-07,1.0891314582338578e-06,-1.3634027105618485e-07,0
6,1.854777698711268e-07,1.0891314582338578e-06,-1.1504336987112681e-07,1
7,2.0520123914977923e-07,1.0891314582338578e-06,-1.0939713914977922e-07,0
8,2.824752633041107e-07,1.0891314582338578e-06,-9.199926330411072e-08,0
9,3.766435159869472e-07,1.0891314582338578e-06,-4.249951598694718e-08,0
10,5.102226725823275e-07,1.0891314582338578e-06,-1.128672582327539e-09,0
11,8.239445644861245e-07,1.0891314582338578e-06,-1.3827156448612448e-07,0
12,1.348111075199769e-06,1.0891314582338578e-06,-5.49832075199769e-07,0
13,1.6940471773925931e-06,1.0891314582338578e-06,-9.037391773925932e-07,1
14,1.4594646871393753e-06,1.0891314582338578e-06,-7.853366871393753e-07,1
15,8.916415726847479e-07,1.0891314582338578e-06,-3.822315726847479e-07,1
16,4.69129158088081e-07,1.0891314582338578e-06,-1.1503315808808101e-07,0
17,2.8348455717973595e-07,1.0891314582338578e-06,-5.062055717973594e-08,0
18,1.9821050672849654e-07,1.0891314582338578e-06,-5.7337506728496525e-08,0
19,1.6488700425631127e-07,1.0891314582338578e-06,-7.695030425631127e-08,1
20,2.0467184987619095e-07,1.0891314582338578e-06,-1.2201494987619097e-07,1
21,3.4866522662822703e-07,1.0891314582338578e-06,-2.3207522662822702e-07,1
22,6.144491676581133e-07,1.0891314582338578e-06,-4.266321676581133e-07,1
23,9.466059571499935e-07,1.0891314582338578e-06,-6.283179571499934e-07,1
24,1.3874277585572096e-06,1.0891314582338578e-06,-7.746497585572095e-07,1
25,2.176384256494456e-06,1.0891314582338578e-06,-7.959842564944561e-07,1
26,3.757960058098192e-06,1.0891314582338578e-06,-5.234300580981922e-07,0
27,6.845964631199904e-06,1.0891314582338578e-06,4.5153688000958565e-09,0
28,1.1528020725116216e-05,1.0891314582338578e-06,2.4997927488378415e-07,0
29,1.5569695363794973e-05,1.0891314582338578e-06,-3.034953637949734e-07,0
30,1.5381340295500916e-05,1.0891314582338578e-06,-1.217540295500914e-06,0
31,1.036127778223514e-05,1.0891314582338578e-06,-1.439617782235139e-06,0
32,5.2095292182939346e-06,1.0891314582338578e-06,-1.3261792182939347e-06,0
33,6.2826048523551245e-06,1.0891314582338578e-06,-1.5035948523551243e-06,0
34,4.59119867984888e-06,1.0891314582338578e-06,-1.1465186798488795e-06,0
35,2.387661067067099e-06,1.0891314582338578e-06,-6.945510670670991e-07,0
36,1.1222615440540177e-06,1.0891314582338578e-06,-4.3536054405401774e-07,0
37,6.139663500087895e-07,1.0891314582338578e-06,-3.2847235000878953e-07,1
38,4.801735540161846e-07,1.0891314582338578e-06,-2.9310455401618463e-07,1
39,5.686189657718078e-07,1.0891314582338578e-06,-3.0813496577180774e-07,0
40,7.769430482861559e-07,1.0891314582338578e-06,-2.976280482861559e-07,0
41,1.03801889736501e-06,1.0891314582338578e-06,-2.087968973650101e-07,0
42,1.5181798852940252e-06,1.0891314582338578e-06,-2.699998852940251e-07,0
43,2.4754316650489484e-06,1.0891314582338578e-06,-8.304516650489484e-07,0
44,3.6297488674038497e-06,1.0891314582338578e-06,-1.6954088674038496e-06,1
45,3.974894295016421e-06,1.0891314582338578e-06,-1.9328642950164205e-06,1
46,3.142954419391099e-06,1.0891314582338578e-06,-1.2136444193910992e-06,1
47,2.059779774148333e-06,1.0891314582338578e-06,-4.204997741483331e-07,0
48,1.492071212714319e-06,1.0891314582338578e-06,-2.2606121271431914e-07,0
49,1.2579314069552273e-06,1.0891314582338578e-06,-3.8878240695522723e-07,0
50,9.958459249049857e-07,1.0891314582338578e-06,-4.5580292490498563e-07,1
51,7.623092235288341e-07,1.0891314582338578e-06,-3.8870322352883414e-07,1
52,8.44243582838187e-07,1.0891314582338578e-06,-4.72702582838187e-07,1
53,1.4940887648432566e-06,1.0891314582338578e-06,-9.912877648432567e-07,1
54,2.573992795402277e-06,1.0891314582338578e-06,-1.8405417954022772e-06,1
55,3.6154521701747703e-06,1.0891314582338578e-06,-2.48065217017477e-06,1
56,4.7325307333361395e-06,1.0891314582338578e-06,-2.5928807333361396e-06,1
57,7.044201954008424e-06,1.0891314582338578e-06,-2.1630319540084245e-06,1
58,1.2496767387390456e-05,1.0891314582338578e-06,-1.1003673873904543e-06,0
59,2.2987462750101074e-05,1.0891314582338578e-06,9.003724989892632e-08,0
60,3.638527218700462e-05,1.0891314582338578e-06,1.6192781299537867e-07,0
61,4.36340884093028e-05,1.0891314582338578e-06,-8.644884093027987e-07,0
62,3.711276650266705e-05,1.0891314582338578e-06,-1.5257665026670525e-06,0
63,2.1247594196243148e-05,1.0891314582338578e-06,-1.1820941962431482e-06,0
64,5.665489269784022e-06,1.0891314582338578e-06,-4.7110926978402226e-07,0
65,6.3402263329167515e-06,1.0891314582338578e-06,-4.85616332916751e-07,0
66,4.45671141434028e-06,1.0891314582338578e-06,-5.503314143402797e-07,0
67,2.364553815818844e-06,1.0891314582338578e-06,-5.40763815818844e-07,0
68,1.1937549607282078e-06,1.0891314582338578e-06,-4.299469607282079e-07,0
69,6.889766626132757e-07,1.0891314582338578e-06,-3.075746626132757e-07,0
70,5.498670186352151e-07,1.0891314582338578e-06,-2.7012101863521513e-07,0
71,6.560144960544319e-07,1.0891314582338578e-06,-3.2292049605443196e-07,0
72,8.979947100409453e-07,1.0891314582338578e-06,-3.317757100409453e-07,0
73,1.3001770073392274e-06,1.0891314582338578e-06,-3.158030073392274e-07,0
74,2.155930325819369e-06,1.0891314582338578e-06,-6.416103258193689e-07,0
75,3.649795784463658e-06,1.0891314582338578e-06,-1.534555784463658e-06,1
76,5.106435016836863e-06,1.0891314582338578e-06,-2.3254750168368635e-06,1
77,5.361755624050132e-06,1.0891314582338578e-06,-1.967535624050132e-06,1
78,4.615104473437755e-06,1.0891314582338578e-06,-8.663844734377553e-07,0
79,4.236787521088046e-06,1.0891314582338578e-06,-5.209275210880463e-07,0
80,4.4822977110535334e-06,1.0891314582338578e-06,-1.2631177110535335e-06,0
81,4.26244435882718e-06,1.0891314582338578e-06,-1.9090743588271794e-06,1
82,3.134784740634083e-06,1.0891314582338578e-06,-1.610794740634083e-06,1
83,1.9765308133874527e-06,1.0891314582338578e-06,-9.220808133874528e-07,1
84,1.8659402642961049e-06,1.0891314582338578e-06,-8.695312642961049e-07,1
85,3.2028582543210173e-06,1.0891314582338578e-06,-1.944468254321017e-06,1
86,5.2579455913847545e-06,1.0891314582338578e-06,-3.5587555913847546e-06,1
87,6.851828300975877e-06,1.0891314582338578e-06,-4.401188300975877e-06,1
88,8.522444771391684e-06,1.0891314582338578e-06,-4.006144771391684e-06,1
89,1.3179520459593993e-05,1.0891314582338578e-06,-2.7782204595939917e-06,1
90,2.4597438545146552e-05,1.0891314582338578e-06,-9.661385451465506e-07,0
91,4.4166358067744316e-05,1.0891314582338578e-06,2.908419322556895e-07,0
92,6.395900715071122e-05,1.0891314582338578e-06,-1.28907150711221e-07,0
93,6.816817000122271e-05,1.0891314582338578e-06,-9.81470001222711e-07,0
94,5.118946082155021e-05,1.0891314582338578e-06,-8.122608215502079e-07,0
95,2.6071983380525988e-05,1.0891314582338578e-06,-3.2868338052598987e-07,0
96,4.65759522324923e-06,1.0891314582338578e-06,-1.076952232492301e-07,0
97,5.0603512665046376e-06,1.0891314582338578e-06,-1.676212665046374e-07,0
98,3.5015434961161025e-06,1.0891314582338578e-06,-3.6444349611610246e-07,0
99,1.8339420864292144e-06,1.0891314582338578e-06,-3.9677208642921417e-07,0
100,8.917724327563345e-07,1.0891314582338578e-06,-2.369484327563345e-07,0
101,4.80123211746021e-07,1.0891314582338578e-06,-8.324521174602093e-08,0
102,3.4355790075882536e-07,1.0891314582338578e-06,-4.4667900758825366e-08,0
103,3.735587859202775e-07,1.0891314582338578e-06,-7.967478592027749e-08,0
104,5.311432664164015e-07,1.0891314582338578e-06,-9.434526641640153e-08,0
105,9.531963062247244e-07,1.0891314582338578e-06,-1.8473130622472437e-07,0
106,1.9994527845361332e-06,1.0891314582338578e-06,-6.616727845361332e-07,0
107,3.7908482423335e-06,1.0891314582338578e-06,-1.5510482423335e-06,1
108,5.639184235057645e-06,1.0891314582338578e-06,-2.145264235057645e-06,1
109,6.7188626784082086e-06,1.0891314582338578e-06,-1.7639926784082092e-06,1
110,7.5428998009113375e-06,1.0891314582338578e-06,-1.2076498009113375e-06,0
111,9.07423862646327e-06,1.0891314582338578e-06,-2.0184486264632703e-06,0
112,1.026400300922634e-05,1.0891314582338578e-06,-3.77973300922634e-06,1
113,9.035985160109598e-06,1.0891314582338578e-06,-4.200375160109599e-06,1
114,5.8075706317169075e-06,1.0891314582338578e-06,-2.6850106317169078e-06,1
115,3.058419773376767e-06,1.0891314582338578e-06,-9.480797733767667e-07,1
116,2.3509205504899057e-06,1.0891314582338578e-06,-4.122405504899056e-07,0
117,3.6278212375023804e-06,1.0891314582338578e-06,-1.1836112375023803e-06,1
118,5.623812243616109e-06,1.0891314582338578e-06,-2.3127622436161085e-06,1
119,7.2496277904924195e-06,1.0891314582338578e-06,-2.6233177904924195e-06,1
120,1.0128544185551154e-05,1.0891314582338578e-06,-1.9265141855511552e-06,1
121,1.8415818238243148e-05,1.0891314582338578e-06,-3.645182382431467e-07,0
122,3.601903460940529e-05,1.0891314582338578e-06,1.8208653905947076e-06,0
123,6.115095639293614e-05,1.0891314582338578e-06,2.939543607063857e-06,0
124,8.032687522437974e-05,1.0891314582338578e-06,1.8236247756202631e-06,0
125,7.757446029278903e-05,1.0891314582338578e-06,-1.700602927890381e-07,0
126,5.359561046563382e-05,1.0891314582338578e-06,-1.0966104656338246e-06,0
127,2.561004183743625e-05,1.0891314582338578e-06,-9.927418374362506e-07,0
128,3.495258043960291e-06,1.0891314582338578e-06,-1.6613804396029144e-07,0
129,3.8107814563210976e-06,1.0891314582338578e-06,-3.164314563210977e-07,0
130,2.689047239073689e-06,1.0891314582338578e-06,-4.803072390736885e-07,0
131,1.4356922398703812e-06,1.0891314582338578e-06,-3.669622398703814e-07,0
132,7.074029902495819e-07,1.0891314582338578e-06,-1.207389902495819e-07,0
133,3.746186348908728e-07,1.0891314582338578e-06,3.055336510912722e-08,0
134,2.1716212073890886e-07,1.0891314582338578e-06,7.252487926109111e-08,0
135,1.6893339515434677e-07,1.0891314582338578e-06,6.018060484565323e-08,0
136,2.476393296415961e-07,1.0891314582338578e-06,4.260567035840394e-08,0
137,6.428433154435998e-07,1.0891314582338578e-06,-6.009031544359982e-08,0
138,1.7993255504174545e-06,1.0891314582338578e-06,-4.870855504174545e-07,1
139,4.007479540575817e-06,1.0891314582338578e-06,-1.3018595405758172e-06,1
140,6.805309593657392e-06,1.0891314582338578e-06,-1.964939593657392e-06,1
141,9.450015228186953e-06,1.0891314582338578e-06,-1.8348352281869521e-06,0
142,1.206548537149033e-05,1.0891314582338578e-06,-1.6315853714903297e-06,0
143,1.4588900122228406e-05,1.0891314582338578e-06,-2.7882001222284076e-06,0
144,1.4928985382506824e-05,1.0891314582338578e-06,-4.383085382506826e-06,1
145,1.1493899845713076e-05,1.0891314582338578e-06,-4.021669845713075e-06,1
146,6.4080797336466476e-06,1.0891314582338578e-06,-1.862269733646648e-06,1
147,2.8850852339670243e-06,1.0891314582338578e-06,4.971476603297596e-08,0
148,1.805168250640176e-06,1.0891314582338578e-06,9.655217493598242e-07,0
149,2.4218814474328383e-06,1.0891314582338578e-06,1.3590185525671614e-06,0
150,3.809761013908495e-06,1.0891314582338578e-06,1.5047489860915052e-06,1
151,6.078080020349865e-06,1.0891314582338578e-06,1.4188099796501348e-06,1
152,1.1515777489766062e-05,1.0891314582338578e-06,1.5486225102339374e-06,0
153,2.4028091010592306e-05,1.0891314582338578e-06,2.711308989407694e-06,0
154,4.617531606819111e-05,1.0891314582338578e-06,4.188383931808893e-06,0
155,7.210572551164e-05,1.0891314582338578e-06,3.6242744883599974e-06,0
156,8.578049902142632e-05,1.0891314582338578e-06,5.728009785736766e-07,0
157,7.586400961737e-05,1.0891314582338578e-06,-2.4223096173700028e-06,0
158,4.916618492641352e-05,1.0891314582338578e-06,-3.2710849264135203e-06,0
159,2.2592950130224226e-05,1.0891314582338578e-06,-2.390750130224225e-06,1
160,2.763366957886671e-06,1.0891314582338578e-06,-3.051269578866708e-07,0
161,3.1697921831041883e-06,1.0891314582338578e-06,-5.073121831041885e-07,0
162,2.3857316640178063e-06,1.0891314582338578e-06,-5.547916640178061e-07,1
163,1.3755035580237385e-06,1.0891314582338578e-06,-3.140535580237385e-07,0
164,7.060035962164961e-07,1.0891314582338578e-06,-5.400596216496142e-09,0
165,3.272676082576341e-07,1.0891314582338578e-06,1.811033917423659e-07,0
166,1.3423041002603706e-07,1.0891314582338578e-06,2.0930058997396292e-07,0
167,7.935354708583217e-08,1.0891314582338578e-06,1.5530845291416785e-07,0
168,1.672677711490903e-07,1.0891314582338578e-06,1.0205622885090974e-07,0
169,6.447187307224071e-07,1.0891314582338578e-06,-3.399730722407101e-09,0
170,2.0872996881250717e-06,1.0891314582338578e-06,-3.4303968812507173e-07,0
171,4.96986492156429e-06,1.0891314582338578e-06,-9.149949215642902e-07,0
172,8.922717546720723e-06,1.0891314582338578e-06,-1.1226075467207218e-06,0
173,1.299670253699222e-05,1.0891314582338578e-06,-4.1360253699221994e-07,0
174,1.6514406282766007e-05,1.0891314582338578e-06,2.9169371723399123e-07,0
175,1.806432337855037e-05,1.0891314582338578e-06,-2.2262337855036738e-07,0
176,1.584153739765279e-05,1.0891314582338578e-06,-1.2106373976527896e-06,0
177,1.0479585014382485e-05,1.0891314582338578e-06,-1.045605014382485e-06,0
178,5.113362193035245e-06,1.0891314582338578e-06,1.3482780696475468e-07,0
179,2.0321887978082364e-06,1.0891314582338578e-06,1.1175312021917634e-06,1
180,1.1011420382839523e-06,1.0891314582338578e-06,1.8474579617160477e-06,1
181,1.4666762194423334e-06,1.0891314582338578e-06,2.6481237805576666e-06,1
182,2.9944201887897604e-06,1.0891314582338578e-06,3.0051198112102406e-06,1
183,6.516179215868632e-06,1.0891314582338578e-06,2.664740784131368e-06,1
184,1.394129472810538e-05,1.0891314582338578e-06,2.6740052718946204e-06,1
185,2.857092214077561e-05,1.0891314582338578e-06,3.5293778592243916e-06,0
186,5.166212224816693e-05,1.0891314582338578e-06,3.3937777518330695e-06,0
187,7.436634781909256e-05,1.0891314582338578e-06,7.969521809074416e-07,0
188,8.08442913448385e-05,1.0891314582338578e-06,-2.5400913448384986e-06,0
189,6.604975881577351e-05,1.0891314582338578e-06,-4.31885881577351e-06,0
190,4.05940951121222e-05,1.0891314582338578e-06,-4.047495112122203e-06,0
191,1.8117765190084675e-05,1.0891314582338578e-06,-2.485165190084675e-06,1
192,2.918110701593145e-06,1.0891314582338578e-06,-6.276407015931449e-07,1
193,3.5152197501795884e-06,1.0891314582338578e-06,-7.378597501795884e-07,1
194,2.712365643601577e-06,1.0891314582338578e-06,-4.984656436015772e-07,0
195,1.568639067073246e-06,1.0891314582338578e-06,-9.448906707324606e-08,0
196,7.624323375102289e-07,1.0891314582338578e-06,2.4858766248977115e-07,0
197,3.1215699170358194e-07,1.0891314582338578e-06,3.859500082964181e-07,0
198,1.3436576547066613e-07,1.0891314582338578e-06,3.1017823452933385e-07,0
199,1.1643319593317024e-07,1.0891314582338578e-06,1.806778040668297e-07,0
200,2.584348651845232e-07,1.0891314582338578e-06,1.222381348154768e-07,0
201,9.434270071013319e-07,1.0891314582338578e-06,8.886299289866809e-08,0
202,3.0333056059205e-06,1.0891314582338578e-06,-6.821560592049972e-08,0
203,7.255595550909006e-06,1.0891314582338578e-06,-2.2535555090900728e-07,0
204,1.3021167199993986e-05,1.0891314582338578e-06,3.9543280000601566e-07,0
205,1.873220366462753e-05,1.0891314582338578e-06,2.0806963353724677e-06,0
206,2.2534000301043297e-05,1.0891314582338578e-06,3.503599698956706e-06,1
207,2.2302594394570887e-05,1.0891314582338578e-06,3.1736056054291114e-06,1
208,1.7553696210074898e-05,1.0891314582338578e-06,1.6276037899251044e-06,0
209,1.060082224190858e-05,1.0891314582338578e-06,8.717777580914193e-07,0
210,4.8169853536940236e-06,1.0891314582338578e-06,1.2025246463059769e-06,0
211,1.7895880878137501e-06,1.0891314582338578e-06,1.5815319121862494e-06,1
212,9.130012304434599e-07,1.0891314582338578e-06,1.8316187695565402e-06,1
213,1.4025154830980757e-06,1.0891314582338578e-06,2.0691445169019244e-06,1
214,3.4046210089238194e-06,1.0891314582338578e-06,1.9332889910761798e-06,1
215,7.780359184801676e-06,1.0891314582338578e-06,1.5051208151983235e-06,0
216,1.6206399258036768e-05,1.0891314582338578e-06,1.4872007419632314e-06,0
217,3.141540110276186e-05,1.0891314582338578e-06,1.5971988972381419e-06,0
218,5.320545010874614e-05,1.0891314582338578e-06,5.693498912538562e-07,0
219,7.14972186105616e-05,1.0891314582338578e-06,-1.422418610561607e-06,0
220,7.2926909550125e-05,1.0891314582338578e-06,-3.010709550124995e-06,0
221,5.6859270192983044e-05,1.0891314582338578e-06,-3.5727701929830455e-06,0
222,3.427896912110309e-05,1.0891314582338578e-06,-2.972669121103087e-06,0
223,1.556088818272608e-05,1.0891314582338578e-06,-1.7573881827260809e-06,1
224,4.0771826857532176e-06,1.0891314582338578e-06,-9.318526857532174e-07,1
225,4.883383854538228e-06,1.0891314582338578e-06,-7.992138545382288e-07,0
226,3.6385705558050347e-06,1.0891314582338578e-06,-2.509805558050346e-07,0
227,1.9641281470675247e-06,1.0891314582338578e-06,2.6980185293247516e-07,0
228,8.90277124461417e-07,1.0891314582338578e-06,5.325328755385831e-07,0
229,3.8387332038116047e-07,1.0891314582338578e-06,5.036706796188395e-07,0
230,2.2426102952676677e-07,1.0891314582338578e-06,3.0592297047323323e-07,0
231,2.208431537231308e-07,1.0891314582338578e-06,1.6904784627686917e-07,0
232,4.402696664482968e-07,1.0891314582338578e-06,2.0375633355170327e-07,0
233,1.532831899369888e-06,1.0891314582338578e-06,3.3487810063011176e-07,0
234,4.806675987539842e-06,1.0891314582338578e-06,5.086940124601572e-07,0
235,1.1228650492723993e-05,1.0891314582338578e-06,1.1842495072760063e-06,0
236,1.981509703898728e-05,1.0891314582338578e-06,3.1852029610127195e-06,1
237,2.805812306079539e-05,1.0891314582338578e-06,5.889276939204608e-06,1
238,3.294802317801282e-05,1.0891314582338578e-06,6.895276821987182e-06,1
239,3.1626089578113385e-05,1.0891314582338578e-06,4.960710421886615e-06,1
240,2.397249591576454e-05,1.0891314582338578e-06,2.175004084235461e-06,0
241,1.3913753940022042e-05,1.0891314582338578e-06,1.2048460599779573e-06,0
242,6.210142576826777e-06,1.0891314582338578e-06,1.7488974231732233e-06,1
243,2.416019723583166e-06,1.0891314582338578e-06,2.2516902764168332e-06,1
244,1.3286614872337195e-06,1.0891314582338578e-06,2.3746085127662803e-06,1
245,1.8549106188649917e-06,1.0891314582338578e-06,2.1917093811350083e-06,1
246,4.122244667029407e-06,1.0891314582338578e-06,1.3843253329705926e-06,0
247,9.13762094045614e-06,1.0891314582338578e-06,3.540905954386085e-08,0
248,1.8617134835255006e-05,1.0891314582338578e-06,-1.2126348352550072e-06,0
249,3.456173923082056e-05,1.0891314582338578e-06,-1.8741392308205604e-06,0
250,5.49022963981665e-05,1.0891314582338578e-06,-1.2630963981664992e-06,0
251,6.987278139889158e-05,1.0891314582338578e-06,3.5011860110842135e-07,0
252,7.019803246508645e-05,1.0891314582338578e-06,6.88467534913539e-07,0
253,5.671505494907234e-05,1.0891314582338578e-06,-4.836549490723342e-07,0
254,3.709732331410752e-05,1.0891314582338578e-06,-1.3423233141075235e-06,0
255,1.878649965585073e-05,1.0891314582338578e-06,-1.3572996558507318e-06,0
256,5.126641038230942e-06,1.0891314582338578e-06,-5.066510382309421e-07,0
257,5.792455398498387e-06,1.0891314582338578e-06,-1.1652539849838623e-07,0
258,3.979491584509106e-06,1.0891314582338578e-06,3.7749841549089377e-07,0
259,1.958709669402656e-06,1.0891314582338578e-06,6.58210330597344e-07,0
260,8.387991449409248e-07,1.0891314582338578e-06,6.523908550590751e-07,0
261,3.7714123141445864e-07,1.0891314582338578e-06,4.577847685855413e-07,0
262,2.3132143273367976e-07,1.0891314582338578e-06,2.5879556726632026e-07,0
263,2.414809575872385e-07,1.0891314582338578e-06,2.0486504241276145e-07,0
264,6.354410057202636e-07,1.0891314582338578e-06,3.440099942797364e-07,0
265,2.443477075606821e-06,1.0891314582338578e-06,7.029629243931788e-07,0
266,7.773027552242609e-06,1.0891314582338578e-06,1.5647624477573911e-06,0
267,1.8293151101467238e-05,1.0891314582338578e-06,3.841448898532762e-06,1
268,3.2549326785977675e-05,1.0891314582338578e-06,7.714073214022323e-06,1
269,4.607661206942602e-05,1.0891314582338578e-06,1.0468587930573985e-05,1
270,5.2738209836290774e-05,1.0891314582338578e-06,9.321190163709223e-06,1
271,4.754851682354423e-05,1.0891314582338578e-06,5.498783176455763e-06,1
272,3.2866525472065945e-05,1.0891314582338578e-06,2.483374527934053e-06,0
273,1.746287746051634e-05,1.0891314582338578e-06,1.995922539483662e-06,0
274,7.563869424668155e-06,1.0891314582338578e-06,2.9427305753318458e-06,1
275,3.246124735326018e-06,1.0891314582338578e-06,3.710155264673982e-06,1
276,2.148627936676751e-06,1.0891314582338578e-06,3.757872063323249e-06,1
277,2.958313380319355e-06,1.0891314582338578e-06,2.818396619680644e-06,1
278,5.74371503021671e-06,1.0891314582338578e-06,7.504449697832891e-07,0
279,1.141044981213185e-05,1.0891314582338578e-06,-1.8025098121318505e-06,0
280,2.2336684323799176e-05,1.0891314582338578e-06,-3.966884323799175e-06,1
281,4.0632057388547134e-05,1.0891314582338578e-06,-4.113557388547135e-06,0
282,6.250308070382468e-05,1.0891314582338578e-06,-5.980703824678491e-09,0
283,7.881545589684722e-05,1.0891314582338578e-06,5.417544103152771e-06,0
