,E258K,max,diff,True
0,6.790342545681108e-07,1.0232470704199929e-06,7.359557454318892e-07,1
1,9.133053372749594e-07,1.0232470704199929e-06,1.0973346627250407e-06,1
2,7.367169679547802e-07,1.0232470704199929e-06,9.043730320452198e-07,1
3,5.16424732498438e-07,1.0232470704199929e-06,3.741302675015619e-07,0
4,5.256589978552122e-07,1.0232470704199929e-06,-1.4865099785521223e-07,0
5,6.235275004037996e-07,1.0232470704199929e-06,-4.820545004037996e-07,1
6,5.962381698977815e-07,1.0232470704199929e-06,-5.258037698977816e-07,1
7,3.9486388808487905e-07,1.0232470704199929e-06,-2.9905978808487906e-07,1
8,1.756732140989839e-07,1.0232470704199929e-06,1.4802785901016095e-08,0
9,7.358621963636014e-08,1.0232470704199929e-06,2.6055778036363987e-07,0
10,7.639039863921013e-08,1.0232470704199929e-06,4.327036013607898e-07,0
11,1.3781172685349258e-07,1.0232470704199929e-06,5.478612731465075e-07,0
12,2.133976002710089e-07,1.0232470704199929e-06,5.848813997289911e-07,0
13,2.3801252587576213e-07,1.0232470704199929e-06,5.522954741242378e-07,0
14,1.8430514541052784e-07,1.0232470704199929e-06,4.898228545894722e-07,1
15,1.1033213898423805e-07,1.0232470704199929e-06,3.99077861015762e-07,1
16,6.493098148225298e-08,1.0232470704199929e-06,2.89165018517747e-07,1
17,4.650014340732956e-08,1.0232470704199929e-06,1.8636385659267046e-07,1
18,5.693051765449388e-08,1.0232470704199929e-06,8.394248234550614e-08,0
19,9.044712659733364e-08,1.0232470704199929e-06,-2.5104265973336405e-09,0
20,1.4294682983999824e-07,1.0232470704199929e-06,-6.028992983999825e-08,0
21,2.585254923259017e-07,1.0232470704199929e-06,-1.4193549232590166e-07,1
22,4.80132957936769e-07,1.0232470704199929e-06,-2.9231595793676895e-07,1
23,7.800116355236742e-07,1.0232470704199929e-06,-4.617236355236742e-07,1
24,1.1764740622451364e-06,1.0232470704199929e-06,-5.636960622451364e-07,1
25,2.1052932245297526e-06,1.0232470704199929e-06,-7.248932245297526e-07,1
26,4.341601522686101e-06,1.0232470704199929e-06,-1.1070715226861015e-06,1
27,8.003728401761553e-06,1.0232470704199929e-06,-1.1532484017615529e-06,0
28,1.1986842637436862e-05,1.0232470704199929e-06,-2.0884263743686232e-07,0
29,1.4196976139913962e-05,1.0232470704199929e-06,1.0692238600860378e-06,0
30,1.258044503071084e-05,1.0232470704199929e-06,1.5833549692891614e-06,0
31,7.811052934092473e-06,1.0232470704199929e-06,1.1106070659075269e-06,0
32,2.1005042661756874e-06,1.0232470704199929e-06,1.7828457338243124e-06,1
33,2.472012217892308e-06,1.0232470704199929e-06,2.306997782107692e-06,1
34,1.8677389391639886e-06,1.0232470704199929e-06,1.5769410608360115e-06,1
35,1.504319849611831e-06,1.0232470704199929e-06,1.8879015038816878e-07,0
