,T125R,max,diff,True
41,3.443378981212388e-07,1.0984206599276616e-06,4.848841018787611e-07,0
42,5.734289735267287e-07,1.0984206599276616e-06,6.747510264732714e-07,0
43,9.827301316582836e-07,1.0984206599276616e-06,6.622498683417164e-07,0
44,1.6125006069863757e-06,1.0984206599276616e-06,3.218393930136244e-07,0
45,2.480004739896794e-06,1.0984206599276616e-06,-4.3797473989679384e-07,0
46,3.312779001218378e-06,1.0984206599276616e-06,-1.3834690012183783e-06,1
47,3.6308438954267485e-06,1.0984206599276616e-06,-1.9915638954267485e-06,1
48,3.2414937272541315e-06,1.0984206599276616e-06,-1.975483727254132e-06,1
49,2.4947194894957784e-06,1.0984206599276616e-06,-1.6255704894957783e-06,1
50,1.7614664241074338e-06,1.0984206599276616e-06,-1.2214234241074338e-06,1
51,1.186169870136523e-06,1.0984206599276616e-06,-8.12563870136523e-07,1
52,9.227808995709056e-07,1.0984206599276616e-06,-5.512398995709056e-07,1
53,1.0137243621744286e-06,1.0984206599276616e-06,-5.109233621744286e-07,1
54,1.2331916733866543e-06,1.0984206599276616e-06,-4.997406733866542e-07,0
55,1.3895132443253479e-06,1.0984206599276616e-06,-2.5471324432534773e-07,0
56,1.8075557912206162e-06,1.0984206599276616e-06,3.3209420877938373e-07,0
57,3.8193300014055694e-06,1.0984206599276616e-06,1.0618399985944301e-06,0
58,9.967720759385194e-06,1.0984206599276616e-06,1.4286792406148075e-06,0
59,2.170034196842293e-05,1.0984206599276616e-06,1.3771580315770692e-06,0
60,3.5145870486773195e-05,1.0984206599276616e-06,1.401329513226806e-06,0
61,4.200800877778477e-05,1.0984206599276616e-06,7.615912222152296e-07,0
62,3.675350887482726e-05,1.0984206599276616e-06,-1.166508874827261e-06,0
63,2.2446861273948975e-05,1.0984206599276616e-06,-2.3813612739489753e-06,0
64,6.490926228211382e-06,1.0984206599276616e-06,-1.296546228211382e-06,0
65,6.9498526058031965e-06,1.0984206599276616e-06,-1.095242605803196e-06,0
66,4.420436403667087e-06,1.0984206599276616e-06,-5.140564036670861e-07,0
67,1.971191130087722e-06,1.0984206599276616e-06,-1.4740113008772205e-07,0
68,9.009551909407377e-07,1.0984206599276616e-06,-1.3714719094073777e-07,0
69,5.977498015289968e-07,1.0984206599276616e-06,-2.1634780152899676e-07,0
70,4.912355434257611e-07,1.0984206599276616e-06,-2.1148954342576114e-07,0
71,4.010462486897976e-07,1.0984206599276616e-06,-6.795224868979761e-08,0
72,3.907925182890767e-07,1.0984206599276616e-06,1.7542648171092325e-07,0
73,5.81997709526921e-07,1.0984206599276616e-06,4.0237629047307893e-07,0
74,1.005491326170006e-06,1.0984206599276616e-06,5.088286738299943e-07,0
75,1.6510378862295975e-06,1.0984206599276616e-06,4.642021137704024e-07,0
76,2.6847672078600847e-06,1.0984206599276616e-06,9.619279213991516e-08,0
77,4.2926592132445526e-06,1.0984206599276616e-06,-8.984392132445528e-07,0
78,6.032629844275203e-06,1.0984206599276616e-06,-2.283909844275203e-06,1
79,6.7155840642632175e-06,1.0984206599276616e-06,-2.9997240642632175e-06,1
80,5.863451493399356e-06,1.0984206599276616e-06,-2.6442714933993558e-06,1
81,4.3282450942010626e-06,1.0984206599276616e-06,-1.9748750942010623e-06,1
82,2.9018425284335547e-06,1.0984206599276616e-06,-1.3778525284335546e-06,1
83,2.075563914896378e-06,1.0984206599276616e-06,-1.021113914896378e-06,1
84,2.2227699645813755e-06,1.0984206599276616e-06,-1.2263609645813755e-06,1
85,3.0815357134609963e-06,1.0984206599276616e-06,-1.8231457134609963e-06,1
86,3.7932098247240777e-06,1.0984206599276616e-06,-2.0940198247240773e-06,1
87,4.030161051057911e-06,1.0984206599276616e-06,-1.579521051057911e-06,1
88,4.886515301405316e-06,1.0984206599276616e-06,-3.7021530140531606e-07,0
89,9.291629232763477e-06,1.0984206599276616e-06,1.1096707672365247e-06,0
90,2.1596129519837527e-05,1.0984206599276616e-06,2.0351704801624746e-06,0
91,4.23030415273936e-05,1.0984206599276616e-06,2.1541584726064025e-06,0
92,6.214857475215291e-05,1.0984206599276616e-06,1.6815252478470877e-06,0
93,6.752800838073786e-05,1.0984206599276616e-06,-3.413083807378588e-07,0
94,5.3616895671342245e-05,1.0984206599276616e-06,-3.2396956713422425e-06,0
95,2.9705583174136268e-05,1.0984206599276616e-06,-3.96228317413627e-06,1
96,5.83348357555913e-06,1.0984206599276616e-06,-1.28358357555913e-06,1
97,5.841441847033521e-06,1.0984206599276616e-06,-9.487118470335207e-07,0
98,3.606966729086943e-06,1.0984206599276616e-06,-4.698667290869431e-07,0
99,1.7450604390026588e-06,1.0984206599276616e-06,-3.078904390026586e-07,0
100,9.392054388510649e-07,1.0984206599276616e-06,-2.843814388510649e-07,0
101,6.306909729353223e-07,1.0984206599276616e-06,-2.3381297293532224e-07,0
102,4.6417671036657526e-07,1.0984206599276616e-06,-1.6528671036657526e-07,0
103,3.558890041102037e-07,1.0984206599276616e-06,-6.200500411020369e-08,0
104,3.698681957323013e-07,1.0984206599276616e-06,6.692980426769868e-08,0
105,6.012888584964747e-07,1.0984206599276616e-06,1.6717614150352532e-07,0
106,1.1163677828477811e-06,1.0984206599276616e-06,2.2141221715221888e-07,0
107,2.0898099954802243e-06,1.0984206599276616e-06,1.499900045197754e-07,0
108,3.942659991572266e-06,1.0984206599276616e-06,-4.487399915722664e-07,0
109,6.880841149817412e-06,1.0984206599276616e-06,-1.9259711498174123e-06,1
110,9.778714456068536e-06,1.0984206599276616e-06,-3.443464456068536e-06,1
111,1.0538090799793994e-05,1.0984206599276616e-06,-3.482300799793994e-06,1
112,8.764344712373274e-06,1.0984206599276616e-06,-2.280074712373274e-06,0
113,6.032370548916373e-06,1.0984206599276616e-06,-1.1967605489163733e-06,0
114,3.7836791531621653e-06,1.0984206599276616e-06,-6.611191531621655e-07,0
115,2.889938600409312e-06,1.0984206599276616e-06,-7.795986004093119e-07,1
116,3.54854288700853e-06,1.0984206599276616e-06,-1.6098628870085298e-06,1
117,4.927010516750088e-06,1.0984206599276616e-06,-2.4828005167500883e-06,1
118,5.915977680638902e-06,1.0984206599276616e-06,-2.6049276806389016e-06,1
119,6.66130460425407e-06,1.0984206599276616e-06,-2.0349946042540704e-06,1
120,9.013069258039653e-06,1.0984206599276616e-06,-8.110392580396541e-07,0
121,1.6791005025587892e-05,1.0984206599276616e-06,1.2602949744121089e-06,0
122,3.4523075205351144e-05,1.0984206599276616e-06,3.3168247946488528e-06,0
123,6.019626558967549e-05,1.0984206599276616e-06,3.894234410324512e-06,0
124,7.992153383957302e-05,1.0984206599276616e-06,2.2289661604269785e-06,0
125,7.863431703656866e-05,1.0984206599276616e-06,-1.2299170365686685e-06,0
126,5.6385707996608277e-05,1.0984206599276616e-06,-3.886707996608283e-06,1
127,2.831011786690957e-05,1.0984206599276616e-06,-3.692817866909571e-06,1
128,4.057485349539138e-06,1.0984206599276616e-06,-7.283653495391382e-07,0
129,4.239277704769039e-06,1.0984206599276616e-06,-7.44927704769039e-07,0
130,2.9633148596483007e-06,1.0984206599276616e-06,-7.545748596483003e-07,1
131,1.722135713560413e-06,1.0984206599276616e-06,-6.534057135604131e-07,1
132,1.0281180516076344e-06,1.0984206599276616e-06,-4.4145405160763444e-07,0
133,6.571126656718278e-07,1.0984206599276616e-06,-2.519406656718278e-07,0
134,4.3043947477070075e-07,1.0984206599276616e-06,-1.407524747707008e-07,0
135,3.091827888915019e-07,1.0984206599276616e-06,-8.006878889150188e-08,0
136,3.0759975598953405e-07,1.0984206599276616e-06,-1.7354755989534035e-08,0
137,5.250835697133904e-07,1.0984206599276616e-06,5.766943028660965e-08,0
138,1.2513138764224205e-06,1.0984206599276616e-06,6.09261235775794e-08,0
139,3.0431706294127617e-06,1.0984206599276616e-06,-3.375506294127616e-07,0
140,6.404130045678625e-06,1.0984206599276616e-06,-1.563760045678625e-06,1
141,1.0825849385931202e-05,1.0984206599276616e-06,-3.2106693859312016e-06,1
142,1.419784496111421e-05,1.0984206599276616e-06,-3.7639449611142093e-06,1
143,1.440274094882643e-05,1.0984206599276616e-06,-2.602040948826432e-06,0
144,1.150799733469323e-05,1.0984206599276616e-06,-9.620973346932316e-07,0
145,7.4552030109943836e-06,1.0984206599276616e-06,1.702698900561707e-08,0
146,4.294452605884976e-06,1.0984206599276616e-06,2.5135739411502376e-07,0
147,3.0050347224033033e-06,1.0984206599276616e-06,-7.023472240330303e-08,0
148,3.2829238023933643e-06,1.0984206599276616e-06,-5.122338023933642e-07,0
149,4.243471868817318e-06,1.0984206599276616e-06,-4.6257186881731865e-07,0
150,5.5292775739838605e-06,1.0984206599276616e-06,-2.1476757398386016e-07,0
151,7.904706315926402e-06,1.0984206599276616e-06,-4.078163159264022e-07,0
152,1.3305649502219091e-05,1.0984206599276616e-06,-2.4124950221909154e-07,0
153,2.5207599529918133e-05,1.0984206599276616e-06,1.5318004700818671e-06,0
154,4.621336694047586e-05,1.0984206599276616e-06,4.150333059524139e-06,0
155,7.052435768642874e-05,1.0984206599276616e-06,5.205642313571256e-06,0
156,8.312397956247334e-05,1.0984206599276616e-06,3.229320437526657e-06,0
157,7.399973600423844e-05,1.0984206599276616e-06,-5.580360042384399e-07,0
158,4.897007304035273e-05,1.0984206599276616e-06,-3.0749730403527306e-06,0
159,2.320533884635755e-05,1.0984206599276616e-06,-3.0031388463575493e-06,1
160,3.208370442096707e-06,1.0984206599276616e-06,-7.501304420967065e-07,1
161,3.7606128509276847e-06,1.0984206599276616e-06,-1.098132850927685e-06,1
162,2.9966228434394667e-06,1.0984206599276616e-06,-1.1656828434394666e-06,1
163,1.936093771581284e-06,1.0984206599276616e-06,-8.746437715812839e-07,1
164,1.1860863036487958e-06,1.0984206599276616e-06,-4.854833036487958e-07,0
165,7.039485390686767e-07,1.0984206599276616e-06,-1.9557753906867672e-07,0
166,4.0828506217703756e-07,1.0984206599276616e-06,-6.475406217703757e-08,0
167,2.579588320698929e-07,1.0984206599276616e-06,-2.329683206989287e-08,0
168,2.596960097008825e-07,1.0984206599276616e-06,9.627990299117538e-09,0
169,6.288344884049716e-07,1.0984206599276616e-06,1.2484511595028385e-08,0
170,1.989262845320512e-06,1.0984206599276616e-06,-2.450028453205122e-07,0
171,5.215097760966487e-06,1.0984206599276616e-06,-1.1602277609664877e-06,1
172,1.0428745278630587e-05,1.0984206599276616e-06,-2.6286352786305864e-06,1
173,1.6011452549597842e-05,1.0984206599276616e-06,-3.4283525495978424e-06,1
174,1.936620201628553e-05,1.0984206599276616e-06,-2.5601020162855314e-06,0
175,1.8706131627706453e-05,1.0984206599276616e-06,-8.644316277064502e-07,0
176,1.4276489543110422e-05,1.0984206599276616e-06,3.5441045688957705e-07,0
177,8.63353497778268e-06,1.0984206599276616e-06,8.004450222173199e-07,0
178,4.5951203699525054e-06,1.0984206599276616e-06,6.530696300474939e-07,0
179,2.820513485631261e-06,1.0984206599276616e-06,3.292065143687387e-07,0
