,K292I,max,diff,True
84,5.601568174439559e-07,1.056035626733772e-06,4.36252182556044e-07,1
85,9.51513127920714e-07,1.056035626733772e-06,3.0687687207928603e-07,0
86,1.5601188431514425e-06,1.056035626733772e-06,1.3907115684855766e-07,0
87,2.6009461909509012e-06,1.056035626733772e-06,-1.5030619095090107e-07,0
88,5.335380638460659e-06,1.056035626733772e-06,-8.190806384606586e-07,0
89,1.2789279264212413e-05,1.056035626733772e-06,-2.3879792642124113e-06,1
90,2.778045771691939e-05,1.056035626733772e-06,-4.149157716919389e-06,1
91,4.7327269173029544e-05,1.056035626733772e-06,-2.870069173029539e-06,0
92,6.118985939356637e-05,1.056035626733772e-06,2.640240606433623e-06,0
93,6.0131894708579404e-05,1.056035626733772e-06,7.054805291420594e-06,1
94,4.4630872901869816e-05,1.056035626733772e-06,5.746327098130187e-06,1
95,2.409458713917685e-05,1.056035626733772e-06,1.648712860823148e-06,0
96,5.290896480334957e-06,1.056035626733772e-06,-7.409964803349568e-07,0
97,5.734966551781487e-06,1.056035626733772e-06,-8.422365517814865e-07,0
98,3.7968714808908117e-06,1.056035626733772e-06,-6.597714808908117e-07,0
99,1.6885609884356423e-06,1.056035626733772e-06,-2.5139098843564213e-07,0
100,5.834408164817254e-07,1.056035626733772e-06,7.138318351827463e-08,0
101,1.9119164562072831e-07,1.056035626733772e-06,2.0568635437927173e-07,0
102,7.430709278252471e-08,1.056035626733772e-06,2.2458290721747529e-07,0
103,4.2974242751711455e-08,1.056035626733772e-06,2.509097572482885e-07,0
104,4.956965509372044e-08,1.056035626733772e-06,3.8722834490627955e-07,0
105,1.1740552042413313e-07,1.056035626733772e-06,6.510594795758669e-07,1
106,3.3418161010882357e-07,1.056035626733772e-06,1.0035983898911765e-06,1
107,8.271126748184981e-07,1.056035626733772e-06,1.4126873251815015e-06,1
108,1.6046586192253775e-06,1.056035626733772e-06,1.8892613807746224e-06,1
109,2.528426325563699e-06,1.056035626733772e-06,2.4264436744363003e-06,1
110,3.3328597519197004e-06,1.056035626733772e-06,3.0023902480802996e-06,1
111,3.5486613096231005e-06,1.056035626733772e-06,3.507128690376899e-06,1
112,2.97774638621978e-06,1.056035626733772e-06,3.5065236137802205e-06,1
113,1.9950681755293634e-06,1.056035626733772e-06,2.8405418244706363e-06,1
114,1.1192420085788798e-06,1.056035626733772e-06,2.00331799142112e-06,1
115,6.75395489677586e-07,1.056035626733772e-06,1.434944510322414e-06,1
116,7.85394364140822e-07,1.056035626733772e-06,1.153285635859178e-06,1
117,1.4903419016806386e-06,1.056035626733772e-06,9.538680983193615e-07,1
118,2.7654255436685278e-06,1.056035626733772e-06,5.456244563314725e-07,0
119,4.783562454866137e-06,1.056035626733772e-06,-1.5725245486613679e-07,0
120,9.219105300388336e-06,1.056035626733772e-06,-1.0170753003883364e-06,0
121,2.022110994584593e-05,1.056035626733772e-06,-2.169809945845929e-06,0
122,4.043870436746498e-05,1.056035626733772e-06,-2.5988043674649803e-06,0
123,6.338285400762663e-05,1.056035626733772e-06,7.076459923733685e-07,0
124,7.522429405652349e-05,1.056035626733772e-06,6.9262059434765136e-06,0
125,6.841934759194528e-05,1.056035626733772e-06,8.985052408054712e-06,1
126,4.798441736643823e-05,1.056035626733772e-06,4.514582633561762e-06,1
127,2.4941865913927435e-05,1.056035626733772e-06,-3.2456591392743644e-07,0
128,4.7150396276929395e-06,1.056035626733772e-06,-1.3859196276929397e-06,1
129,4.8853157279691315e-06,1.056035626733772e-06,-1.3909657279691317e-06,1
130,3.1061831305146937e-06,1.056035626733772e-06,-8.974431305146933e-07,1
